Site Name,Plot #,Crop,Treatment,Date Soil Sample Collected,NO3 Analysis,NO3,pH,Notes,SRadiation,Prec,WD,WS,AT,RH ,WC,ST,mRH,Lat,Lon
Jackson's Mill,22,Switchgrass,Control,10/26/2021,10/27/2021,0.7905,4.03,"very few clumps, easily broken, many roots and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47462309,39.09170022
Jackson's Mill,23,Switchgrass,Fertilizer,10/26/2021,10/27/2021,1.345,3.98,"very few clumps, easily broken, many roots and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47446979,39.09159515
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,10/26/2021,10/27/2021,0.6765,4.35,"very few clumps, easily broken, many roots and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47456391,39.09162206
Jackson's Mill,1,Willow,BioChar + Fertilizer,1/25/2022,1/26/2022,0.7445,4.58,"very few pebbles, limited roots, and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47570159,39.09194722
Jackson's Mill,2,Willow,Fertilizer,1/25/2022,1/26/2022,0.4765,4.06,"very few pebbles, limited roots, and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.4751782,39.09194361
Jackson's Mill,3,Willow,Control,1/25/2022,1/26/2022,0.521,3.41,"very few pebbles, limited roots, and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47480856,39.09142921
Jackson's Mill,4,Switchgrass,Fertilizer,1/25/2022,1/26/2022,0.588,3.58,"very few clumps, easily broken, many roots and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47480612,39.09184881
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,1/25/2022,1/26/2022,0.5815,4.71,"very few clumps, easily broken, many roots and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47512584,39.09212159
Jackson's Mill,6,Switchgrass,Control,1/25/2022,1/26/2022,0.5385,4.15,"very few clumps, easily broken, many roots and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47484178,39.09184183
Jackson's Mill,19,Willow,Fertilizer,1/25/2022,1/26/2022,0.5745,4.16,"very few pebbles, limited roots, and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47450829,39.09131501
Jackson's Mill,20,Willow,Control,1/25/2022,1/26/2022,0.579,3.58,"very few pebbles, limited roots, and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47507777,39.09179542
Jackson's Mill,21,Willow,BioChar + Fertilizer,1/25/2022,1/26/2022,0.505,3.98,"very few pebbles, limited roots, and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.4747105,39.09166522
Jackson's Mill,22,Switchgrass,Control,1/25/2022,1/26/2022,0.5985,4.03,"very few clumps, easily broken, many roots and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47451115,39.09153478
Jackson's Mill,23,Switchgrass,Fertilizer,1/25/2022,1/26/2022,0.6225,3.98,"very few clumps, easily broken, many roots and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.4753784,39.09217956
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,1/25/2022,1/26/2022,0.51,4.35,"very few clumps, easily broken, many roots and leaves",101.8,0.0,215.2,1.1,-8.0,0.8,0.4,2.6,0.8,-80.47443891,39.09141302
Jackson's Mill,1,Willow,BioChar + Fertilizer,4/26/2022,4/29/2022,0.7125,4.58,"very few pebbles, limited roots, and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47455256,39.09158883
Jackson's Mill,2,Willow,Fertilizer,4/26/2022,4/29/2022,0.515,4.06,"very few pebbles, limited roots, and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.4746859,39.09117344
Jackson's Mill,3,Willow,Control,4/26/2022,4/29/2022,0.511,3.41,"very few pebbles, limited roots, and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47544017,39.09201296
Jackson's Mill,4,Switchgrass,Fertilizer,4/26/2022,4/29/2022,0.5765,3.58,"very few clumps, easily broken, many roots and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.4744054,39.09155253
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,4/26/2022,4/29/2022,0.809,4.71,"very few clumps, easily broken, many roots and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47510366,39.09165871
Jackson's Mill,6,Switchgrass,Control,4/26/2022,4/29/2022,0.471,4.15,"very few clumps, easily broken, many roots and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47528562,39.09205366
Jackson's Mill,19,Willow,Fertilizer,4/26/2022,4/29/2022,0.485,4.16,"very few pebbles, limited roots, and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.4754332,39.09189422
Jackson's Mill,20,Willow,Control,4/26/2022,4/29/2022,0.5565,3.58,"very few pebbles, limited roots, and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47546716,39.09184673
Jackson's Mill,21,Willow,BioChar + Fertilizer,4/26/2022,4/29/2022,0.5635,3.98,"very few pebbles, limited roots, and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47530016,39.09178703
Jackson's Mill,22,Switchgrass,Control,4/26/2022,4/29/2022,0.5615,4.03,"very few clumps, easily broken, many roots and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47477364,39.09158384
Jackson's Mill,23,Switchgrass,Fertilizer,4/26/2022,4/29/2022,0.475,3.98,"very few clumps, easily broken, many roots and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47490853,39.09152522
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,4/26/2022,4/29/2022,0.5815,4.35,"very few clumps, easily broken, many roots and leaves",235.8,0.0,127.2,1.0,9.4,0.6,0.4,12.3,0.6,-80.47502188,39.09175745
Jackson's Mill,1,Willow,BioChar + Fertilizer,10/25/2022,10/26/2022,0.419,4.83,"very few pebbles, limited roots, and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47519217,39.09178548
Jackson's Mill,2,Willow,Fertilizer,10/25/2022,10/26/2022,0.42,4.66,"very few pebbles, limited roots, and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.4754783,39.09218083
Jackson's Mill,3,Willow,Control,10/25/2022,10/26/2022,0.388,4.65,"very few pebbles, limited roots, and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47488488,39.09173115
Jackson's Mill,4,Switchgrass,Fertilizer,10/25/2022,10/26/2022,0.3635,4.54,"very few clumps, easily broken, many roots and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47492129,39.09150836
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,10/25/2022,10/26/2022,0.3745,4.63,"very few clumps, easily broken, many roots and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47500184,39.09136756
Jackson's Mill,6,Switchgrass,Control,10/25/2022,10/26/2022,0.385,4.46,"very few clumps, easily broken, many roots and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47449295,39.09162123
Jackson's Mill,19,Willow,Fertilizer,10/25/2022,10/26/2022,0.337,4.64,"very few pebbles, limited roots, and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47492275,39.09151028
Jackson's Mill,20,Willow,Control,10/25/2022,10/26/2022,0.424,4.43,"very few pebbles, limited roots, and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47486907,39.09187613
Jackson's Mill,21,Willow,BioChar + Fertilizer,10/25/2022,10/26/2022,0.367,4.5,"very few pebbles, limited roots, and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47519767,39.09178841
Jackson's Mill,22,Switchgrass,Control,10/25/2022,10/26/2022,0.3705,4.54,"very few clumps, easily broken, many roots and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47516109,39.09186637
Jackson's Mill,23,Switchgrass,Fertilizer,10/25/2022,10/26/2022,0.5175,4.51,"very few clumps, easily broken, many roots and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47532272,39.09198074
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,10/25/2022,10/26/2022,0.495,4.75,"very few clumps, easily broken, many roots and leaves",29.6,0.1,217.4,0.9,11.0,97.6,0.3,11.8,0.9759916667,-80.47552397,39.09217337
Jackson's Mill,1,Willow,BioChar + Fertilizer,7/26/2022,7/27/2022,0.589,4.83,"very few pebbles, limited roots, and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47495145,39.09189259
Jackson's Mill,2,Willow,Fertilizer,7/26/2022,7/27/2022,0.499,4.66,"very few pebbles, limited roots, and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47476214,39.09179577
Jackson's Mill,3,Willow,Control,7/26/2022,7/27/2022,0.9955,4.65,"very few pebbles, limited roots, and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.4756061,39.09189637
Jackson's Mill,4,Switchgrass,Fertilizer,7/26/2022,7/27/2022,0.398,4.54,"very few clumps, easily broken, many roots and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47446281,39.09162825
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,7/26/2022,7/27/2022,0.523,4.63,"very few clumps, easily broken, many roots and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47444716,39.09159612
Jackson's Mill,6,Switchgrass,Control,7/26/2022,7/27/2022,0.5575,4.46,"very few clumps, easily broken, many roots and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47542568,39.09205595
Jackson's Mill,19,Willow,Fertilizer,7/26/2022,7/27/2022,0.621,4.64,"very few pebbles, limited roots, and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47470853,39.09175968
Jackson's Mill,20,Willow,Control,7/26/2022,7/27/2022,0.6545,4.43,"very few pebbles, limited roots, and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47541395,39.09225301
Jackson's Mill,21,Willow,BioChar + Fertilizer,7/26/2022,7/27/2022,0.5585,4.5,"very few pebbles, limited roots, and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47485373,39.09177585
Jackson's Mill,22,Switchgrass,Control,7/26/2022,7/27/2022,0.503,4.54,"very few clumps, easily broken, many roots and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.4754248,39.09209584
Jackson's Mill,23,Switchgrass,Fertilizer,7/26/2022,7/27/2022,0.578,4.51,"very few clumps, easily broken, many roots and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47541547,39.09192889
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,7/26/2022,7/27/2022,0.5155,4.75,"very few clumps, easily broken, many roots and leaves",99.3,0.0,147.3,0.7,22.7,98.0,0.3,23.1,0.9800416667,-80.47509128,39.09179281
Jackson's Mill,1,Willow,BioChar + Fertilizer,1/17/2023,1/18/2023,0.523,4.83,"very few pebbles, limited roots, and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.4754454,39.09200717
Jackson's Mill,2,Willow,Fertilizer,1/17/2023,1/18/2023,0.5025,4.66,"very few pebbles, limited roots, and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47543571,39.09183301
Jackson's Mill,3,Willow,Control,1/17/2023,1/18/2023,0.6335,4.65,"very few pebbles, limited roots, and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47455413,39.09129048
Jackson's Mill,4,Switchgrass,Fertilizer,1/17/2023,1/18/2023,0.686,4.54,"very few clumps, easily broken, many roots and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47448211,39.09164497
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,1/17/2023,1/18/2023,0.652,4.63,"very few clumps, easily broken, many roots and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47448786,39.09141705
Jackson's Mill,6,Switchgrass,Control,1/17/2023,1/18/2023,0.509,4.46,"very few clumps, easily broken, many roots and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47550884,39.09190846
Jackson's Mill,19,Willow,Fertilizer,1/17/2023,1/18/2023,0.534,4.64,"very few pebbles, limited roots, and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47507319,39.09208303
Jackson's Mill,20,Willow,Control,1/17/2023,1/18/2023,0.531,4.43,"very few pebbles, limited roots, and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47546567,39.09213544
Jackson's Mill,21,Willow,BioChar + Fertilizer,1/17/2023,1/18/2023,0.5165,4.5,"very few pebbles, limited roots, and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47515728,39.09149233
Jackson's Mill,22,Switchgrass,Control,1/17/2023,1/18/2023,0.4705,4.54,"very few clumps, easily broken, many roots and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47504973,39.0917607
Jackson's Mill,23,Switchgrass,Fertilizer,1/17/2023,1/18/2023,0.5675,4.51,"very few clumps, easily broken, many roots and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47484191,39.09189899
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,1/17/2023,1/18/2023,0.78,4.75,"very few clumps, easily broken, many roots and leaves",31.9,0.0,238.7,1.1,6.2,97.9,0.4,5.4,0.9791354167,-80.47532611,39.09175006
Agron Farm,1,Willow,Fertilizer,4/15/2021,4/16/2021,0.4955,5.29,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90291063,39.65804812
Agron Farm,2,Willow,BioChar + Fertilizer,4/15/2021,4/16/2021,0.493,5.13,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90315412,39.65796672
Agron Farm,3,Willow,Control,4/15/2021,4/16/2021,0.4825,5.05,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90297679,39.65812251
Agron Farm,4,Switchgrass,BioChar + Fertilizer,4/15/2021,4/16/2021,0.506,4.81,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90317688,39.65899741
Agron Farm,5,Switchgrass,Fertilizer,4/15/2021,4/16/2021,0.4895,3.67,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90345549,39.65843798
Agron Farm,6,Switchgrass,Control,4/15/2021,4/16/2021,0.471,4.2,"easily broken up, few roots, leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90307241,39.65851419
Agron Farm,19,Switchgrass,Fertilizer,4/15/2021,4/16/2021,0.4985,4.27,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90331436,39.65813965
Agron Farm,20,Switchgrass,Control,4/15/2021,4/16/2021,0.5075,4.28,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90344672,39.65808824
Agron Farm,21,Switchgrass,BioChar + Fertilizer,4/15/2021,4/16/2021,0.4565,4.28,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90355811,39.65914653
Agron Farm,22,Willow,Control,4/15/2021,4/16/2021,0.484,4.19,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90336778,39.6581404
Agron Farm,23,Willow,BioChar + Fertilizer,4/15/2021,4/16/2021,0.4705,4.24,"easily broken up, few roots and leaves",62.5,0.0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90334831,39.65812426
Agron Farm,24,Willow,Fertilizer,4/15/2021,4/16/2021,0.4905,3.74,"easily broken up, few roots and leaves",62.5,0,266.5,1.2,5.8,0.8,0.4,11.6,0.8,-79.90295906,39.65823457
Agron Farm,1,Willow,Fertilizer,7/29/2021,7/30/2021,1.075,5.29,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90309178,39.65791911
Agron Farm,2,Willow,BioChar + Fertilizer,7/29/2021,7/30/2021,0.839,5.13,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90354302,39.65873066
Agron Farm,3,Willow,Control,7/29/2021,7/30/2021,0.553,5.05,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90347879,39.65881
Agron Farm,4,Switchgrass,BioChar + Fertilizer,7/29/2021,7/30/2021,0.6445,4.81,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90321489,39.65817529
Agron Farm,5,Switchgrass,Fertilizer,7/29/2021,7/30/2021,0.6485,3.67,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90329824,39.65900937
Agron Farm,6,Switchgrass,Control,7/29/2021,7/30/2021,0.5545,4.2,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90300671,39.65821159
Agron Farm,19,Switchgrass,Fertilizer,7/29/2021,7/30/2021,0.5315,4.27,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90335096,39.65862014
Agron Farm,20,Switchgrass,Control,7/29/2021,7/30/2021,0.5235,4.28,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90314028,39.65821478
Agron Farm,21,Switchgrass,BioChar + Fertilizer,7/29/2021,7/30/2021,0.626,4.28,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.9031287,39.65904445
Agron Farm,22,Willow,Control,7/29/2021,7/30/2021,0.9285,4.19,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90314319,39.65824415
Agron Farm,23,Willow,BioChar + Fertilizer,7/29/2021,7/30/2021,0.6295,4.24,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90355967,39.65901723
Agron Farm,24,Willow,Fertilizer,7/29/2021,7/30/2021,0.8845,3.74,"easily broken up, few roots and leaves",210.8,0.0,210.4,1.3,21.7,0.8,0.3,21.5,0.8,-79.90329878,39.65874355
Agron Farm,1,Willow,Fertilizer,10/28/2021,10/29/2021,0.6465,5.29,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90323408,39.65902866
Agron Farm,2,Willow,BioChar + Fertilizer,10/28/2021,10/29/2021,0.581,5.13,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90348848,39.65914529
Agron Farm,3,Willow,Control,10/28/2021,10/29/2021,0.6535,5.05,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90322348,39.65884319
Agron Farm,4,Switchgrass,BioChar + Fertilizer,10/28/2021,10/29/2021,0.543,4.81,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90324725,39.65796159
Agron Farm,5,Switchgrass,Fertilizer,10/28/2021,10/29/2021,0.507,3.67,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90318777,39.65903552
Agron Farm,6,Switchgrass,Control,10/28/2021,10/29/2021,0.504,4.2,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90331258,39.65893099
Agron Farm,19,Switchgrass,Fertilizer,10/28/2021,10/29/2021,0.5155,4.27,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90352174,39.65891975
Agron Farm,20,Switchgrass,Control,10/28/2021,10/29/2021,0.548,4.28,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90329681,39.6591617
Agron Farm,21,Switchgrass,BioChar + Fertilizer,10/28/2021,10/29/2021,0.594,4.28,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90337375,39.65900988
Agron Farm,22,Willow,Control,10/28/2021,10/29/2021,0.6075,4.19,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90292735,39.65799953
Agron Farm,23,Willow,BioChar + Fertilizer,10/28/2021,10/29/2021,0.671,4.24,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90331411,39.65904436
Agron Farm,24,Willow,Fertilizer,10/28/2021,10/29/2021,0.626,3.74,"easily broken up, few roots and leaves",40.7,0.2,111.4,1.7,12.4,0.9,0.4,14.3,0.9,-79.90333731,39.65839387
Agron Farm,1,Willow,Fertilizer,1/27/2022,1/28/2022,0.4515,5.29,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90328086,39.65791491
Agron Farm,2,Willow,BioChar + Fertilizer,1/27/2022,1/28/2022,0.538,5.13,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90314961,39.65867948
Agron Farm,3,Willow,Control,1/27/2022,1/28/2022,0.5735,5.05,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90323711,39.65924627
Agron Farm,4,Switchgrass,BioChar + Fertilizer,1/27/2022,1/28/2022,0.5115,4.81,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90357736,39.65856305
Agron Farm,5,Switchgrass,Fertilizer,1/27/2022,1/28/2022,0.4675,3.67,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90349884,39.65897664
Agron Farm,6,Switchgrass,Control,1/27/2022,1/28/2022,0.4665,4.2,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.903466,39.65804903
Agron Farm,19,Switchgrass,Fertilizer,1/27/2022,1/28/2022,0.5195,4.27,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90335645,39.65874394
Agron Farm,20,Switchgrass,Control,1/27/2022,1/28/2022,0.482,4.28,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90310499,39.65823912
Agron Farm,21,Switchgrass,BioChar + Fertilizer,1/27/2022,1/28/2022,0.5125,4.28,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90317361,39.65803293
Agron Farm,22,Willow,Control,1/27/2022,1/28/2022,0.528,4.19,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90313102,39.65887464
Agron Farm,23,Willow,BioChar + Fertilizer,1/27/2022,1/28/2022,0.4955,4.24,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.9033435,39.65897191
Agron Farm,24,Willow,Fertilizer,1/27/2022,1/28/2022,0.4785,3.74,"easily broken up, few roots and leaves",22.3,0.0,150.0,2.1,-2.3,0.9,0.4,1.7,0.9,-79.90308537,39.65823026
Agron Farm,1,Willow,Fertilizer,4/28/2022,4/29/2022,0.5735,5.29,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90330354,39.6581539
Agron Farm,2,Willow,BioChar + Fertilizer,4/28/2022,4/29/2022,0.698,5.13,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90340345,39.65866348
Agron Farm,3,Willow,Control,4/28/2022,4/29/2022,0.618,5.05,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90324159,39.65909184
Agron Farm,4,Switchgrass,BioChar + Fertilizer,4/28/2022,4/29/2022,0.5115,4.81,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90302897,39.65862114
Agron Farm,5,Switchgrass,Fertilizer,4/28/2022,4/29/2022,0.4915,3.67,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90331917,39.65802986
Agron Farm,6,Switchgrass,Control,4/28/2022,4/29/2022,0.3715,4.2,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.9030052,39.65816054
Agron Farm,19,Switchgrass,Fertilizer,4/28/2022,4/29/2022,0.395,4.27,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.9031452,39.65893544
Agron Farm,20,Switchgrass,Control,4/28/2022,4/29/2022,0.442,4.28,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.9031664,39.65851041
Agron Farm,21,Switchgrass,BioChar + Fertilizer,4/28/2022,4/29/2022,0.435,4.28,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90356452,39.65855429
Agron Farm,22,Willow,Control,4/28/2022,4/29/2022,0.456,4.19,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90306356,39.65828447
Agron Farm,23,Willow,BioChar + Fertilizer,4/28/2022,4/29/2022,0.5255,4.24,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90326769,39.65790638
Agron Farm,24,Willow,Fertilizer,4/28/2022,4/29/2022,0.606,3.74,"easily broken up, few roots and leaves",277.9,0.0,62.9,1.6,8.7,0.5,0.4,11.4,0.5,-79.90341824,39.65890067
